Constituency,Surname,First Name,Gender,Party,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm,Year,Full Name
Dublin South-West,Holland,Sarah,F,Sinn Féin,S.F.,16,0,0,2616,Excluded,210,19,Baile Átha Cliath Thiar Theas,2016,Sarah Holland
Galway West,Holohan,Tommy,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,14,0,1607,1017,Excluded,171,23,Gaillimh Thiar,2016,Tommy Holohan
Roscommon-Galway,Hopkins,Maura,F,Fine Gael,F.G.,8,2108,0,6812,,167,996,Ros Comáin-Gaillimh,2016,Maura Hopkins
Cork South-Central,Hourihane,Elizabeth,F,Non-Party,NON-P.,11,0,2452,304,Excluded,248,7,Corcaigh Theas-Lár,2016,Elizabeth Hourihane
Clare,Howard,Mary,F,Fine Gael,F.G.,12,0,732,2053,Excluded,166,3,An Clár,2016,Mary Howard
Wexford,Howlin,Brendan,M,The Labour Party,LAB.,14,0,0,10574,Elected,168,40,Loch Garman,2016,Brendan Howlin
Dublin North-West,Hughes,Bernie,F,Non-Party,NON-P.,9,0,859,1120,Excluded,164,15,Baile Átha Cliath Thiar Thuaidh,2016,Bernie Hughes
Cavan-Monaghan,Humphreys,Heather,F,Fine Gael,F.G.,10,0,0,12391,Elected,163,2,An Cabhán-Muineachán,2016,Heather Humphreys
Dublin Bay South,Humphreys,Kevin,M,The Labour Party,LAB.,8,1720,0,4205,,178,17,Cuan Bhaile Átha Cliath Theas,2016,Kevin Humphreys
Dún Laoghaire,Hunt,Carol,F,Non-Party,NON-P.,7,0,93,3152,Excluded,237,21,Dún Laoghaire,2016,Carol Hunt
Wicklow,Hutchinson,Katrina,F,Direct Democracy Ireland,D.D.I.,10,0,2651,168,Excluded,171,41,Cill Mhantáin,2016,Katrina Hutchinson
Longford-Westmeath,Jackson,Donal,M,Non-Party,NON-P.,15,0,2712,51,Excluded,233,30,An Longfort-An Iarmhí,2016,Donal Jackson
Donegal,Jackson,Tim,M,Non-Party,NON-P.,13,0,0,3580,Excluded,165,9,Dún na nGall,2016,Tim Jackson
Mayo,Jordan,Peter,M,Non-Party,NON-P.,10,0,2986,176,Excluded,166,32,Maigh Eo,2016,Peter Jordan
Mayo,Kamal Uddin,Mohammad,M,Non-Party,NON-P.,10,0,3033,144,Excluded,167,32,Maigh Eo,2016,Mohammad Kamal Uddin
Wicklow,Kearns,Bob,M,Non-Party,NON-P.,10,0,2748,112,Excluded,172,41,Cill Mhantáin,2016,Bob Kearns
Dublin South-West,Kearns,Pamela,F,The Labour Party,LAB.,16,0,0,2635,Excluded,211,19,Baile Átha Cliath Thiar Theas,2016,Pamela Kearns
Dublin Mid-West,Keating,Derek,M,Fine Gael,F.G.,12,0,0,2337,Excluded,193,643,Baile Átha Cliath Thiar-Meán,2016,Derek Keating
Galway East,Keaveney,Colm,M,Fianna Fáil,F.F.,7,0,0,5436,Excluded,165,22,Gaillimh Thoir,2016,Colm Keaveney
Wicklow,Keddy,Charlie,M,Non-Party,NON-P.,10,0,2348,447,Excluded,173,41,Cill Mhantáin,2016,Charlie Keddy
Dublin North-West,Keegan,Andrew,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,9,0,0,1434,Excluded,165,15,Baile Átha Cliath Thiar Thuaidh,2016,Andrew Keegan
Wexford,Kehoe,Paul,M,Fine Gael,F.G.,14,2240,0,7696,Elected,169,40,Loch Garman,2016,Paul Kehoe
Dublin Bay South,Keigher,John Dominic,M,Non-Party,NON-P.,8,0,1949,37,Excluded,179,17,Cuan Bhaile Átha Cliath Theas,2016,John Dominic Keigher
Cork North-Central,Kelleher,Billy,M,Fianna Fáil,F.F.,11,0,0,14286,Elected,162,5,Corcaigh Thuaidh-Lár,2016,Billy Kelleher
Dublin Fingal,Kelleher,Terry,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,10,0,307,2067,Excluded,165,14,Baile Átha Cliath - Fine Gall,2016,Terry Kelleher
Tipperary,Kelly,Alan,M,The Labour Party,LAB.,7,1242,0,7746,Elected,167,36,Tiobraid Árann,2016,Alan Kelly
Roscommon-Galway,Kelly,John,M,The Labour Party,LAB.,8,0,1414,1211,Excluded,168,996,Ros Comáin-Gaillimh,2016,John Kelly
Wexford,Kelly,Leonard,M,Social Democrats,S.D.,14,0,808,1635,Excluded,170,40,Loch Garman,2016,Leonard Kelly
Cork South-Central,Kenneally,Ciarán,M,Renua Ireland,R.I.,11,0,1771,887,Excluded,249,7,Corcaigh Theas-Lár,2016,Ciarán Kenneally
Kildare South,Kennedy,Mary,F,Renua Ireland,R.I.,6,0,1513,787,Excluded,176,187,Cill Dara Theas,2016,Mary Kennedy
Donegal,Kennedy,Niamh,F,Non-Party,NON-P.,13,0,998,1836,Excluded,166,9,Dún na nGall,2016,Niamh Kennedy
Mayo,Kenny,Enda,M,Fine Gael,F.G.,10,0,0,13318,Elected,168,32,Maigh Eo,2016,Enda Kenny
Dublin Mid-West,Kenny,Gino,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,12,710,0,4629,Elected,194,643,Baile Átha Cliath Thiar-Meán,2016,Gino Kenny
Sligo-Leitrim,Kenny,Martin,M,Sinn Féin,S.F.,15,0,0,6356,Elected,166,35,Sligeach-Liatroim,2016,Martin Kenny
Meath East,Keogan,Sharon,F,Non-Party,NON-P.,9,0,783,1528,Excluded,183,34,An Mhí Thoir,2016,Sharon Keogan
Limerick County,Keogh,Mark,M,Direct Democracy Ireland,D.D.I.,6,0,2546,222,Excluded,163,29,Contae Luimnigh,2016,Mark Keogh
Cork North-Central,Keohane,Ger,M,Non-Party,NON-P.,11,0,1259,912,Excluded,163,5,Corcaigh Thuaidh-Lár,2016,Ger Keohane
Roscommon-Galway,Kerrane,Claire,F,Sinn Féin,S.F.,8,0,0,3075,Excluded,169,996,Ros Comáin-Gaillimh,2016,Claire Kerrane
Dublin Mid-West,Khan,Dr. Haroon,M,Non-Party,NON-P.,12,0,1881,268,Excluded,195,643,Baile Átha Cliath Thiar-Meán,2016,Dr. Haroon Khan
Cork North-Central,Kiely,Thomas,M,Non-Party,NON-P.,11,0,2011,473,Excluded,164,5,Corcaigh Thuaidh-Lár,2016,Thomas Kiely
Dublin Mid-West,Kivlehan,Tom,M,Green Party/ Comhaontas Glas,G.P.,12,0,1713,388,Excluded,196,643,Baile Átha Cliath Thiar-Meán,2016,Tom Kivlehan
Galway West,Kyne,Seán,M,Fine Gael,F.G.,14,122,0,6136,Elected,172,23,Gaillimh Thiar,2016,Seán Kyne
Dublin South-West,Lahart,John,M,Fianna Fáil,F.F.,16,0,0,9647,Elected,212,19,Baile Átha Cliath Thiar Theas,2016,John Lahart
Meath West,Lawes,Alan,M,Direct Democracy Ireland,D.D.I.,6,0,974,1279,Excluded,182,39,An Mhí Thiar,2016,Alan Lawes
Kildare North,Lawless,James,M,Fianna Fáil,F.F.,9,344,0,7461,Elected,165,26,Cill Dara Thuaidh,2016,James Lawless
Kildare North,Lawlor,Anthony,M,Fine Gael,F.G.,9,2386,0,5406,Excluded,166,26,Cill Dara Thuaidh,2016,Anthony Lawlor
Offaly,Leahy,John,M,Renua Ireland,R.I.,7,0,0,4596,Excluded,168,37,Uíbh Fhailí,2016,John Leahy
Dublin Mid-West,Leonard,Clare,F,Non-Party,NON-P.,12,0,1734,358,Excluded,197,643,Baile Átha Cliath Thiar-Meán,2016,Clare Leonard
Cork  East,Leonardi-Roche,Ciara,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,10,0,0,1999,Excluded,171,4,Corcaigh Thoir,2016,Ciara Leonardi-Roche
Cork  East,Linehan-Foley,Mary,F,Non-Party,NON-P.,10,0,0,3145,Excluded,173,4,Corcaigh Thoir,2016,Mary Linehan-Foley
Wexford,Lloyd,David,M,Direct Democracy Ireland,D.D.I.,14,0,2859,128,Excluded,171,40,Loch Garman,2016,David Lloyd
Tipperary,Lowry,Michael,M,Non-Party,NON-P.,7,0,0,13064,Elected,168,36,Tiobraid Árann,2016,Michael Lowry
Cork South-Central,Lynch,Ciarán,M,The Labour Party,LAB.,11,0,100,2417,Excluded,250,7,Corcaigh Theas-Lár,2016,Ciarán Lynch
Dublin Bay South,Lynch,Glenna,F,Social Democrats,S.D.,8,0,0,2652,Excluded,180,17,Cuan Bhaile Átha Cliath Theas,2016,Glenna Lynch
Clare,Lynch,Ian,M,Non-Party,NON-P.,12,0,1276,1494,Excluded,167,3,An Clár,2016,Ian Lynch
Cork North-Central,Lynch,Kathleen,F,The Labour Party,LAB.,11,2744,0,3723,Excluded,165,5,Corcaigh Thuaidh-Lár,2016,Kathleen Lynch
Dublin Bay North,Lyons,John,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,15,0,0,4409,Excluded,168,13,Cuan Bhaile Átha Cliath Thuaidh,2016,John Lyons
Dublin North-West,Lyons,John,M,The Labour Party,LAB.,9,0,0,2750,Excluded,166,15,Baile Átha Cliath Thiar Thuaidh,2016,John Lyons
Carlow-Kilkenny,Mac Liam,Conor,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,1687,1120,Excluded,165,1,Ceatharlach-Cill Chainnigh,2016,Conor Mac Liam
Sligo-Leitrim,Mac Manus,Chris,M,Sinn Féin,S.F.,15,0,0,4747,Excluded,167,35,Sligeach-Liatroim,2016,Chris Mac Manus
Dublin Bay North,Macdonncha,Mícheál,M,Sinn Féin,S.F.,15,0,0,3527,Excluded,169,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Mícheál Macdonncha
Donegal,MacLochlainn,Pádraig,M,Sinn Féin,S.F.,13,2320,0,5742,Excluded,167,9,Dún na nGall,2016,Pádraig MacLochlainn
Sligo-Leitrim,MacSharry,Marc,M,Fianna Fáil,F.F.,15,0,0,8856,Elected,168,35,Sligeach-Liatroim,2016,Marc MacSharry
Dublin Bay South,Macstiofain,Alan,M,Non-Party,NON-P.,8,0,1751,235,Excluded,181,17,Cuan Bhaile Átha Cliath Theas,2016,Alan Macstiofain
Dublin Rathdown,Madigan,Josepha,F,Fine Gael,F.G.,6,787,0,6668,Elected,224,18,Baile Átha Cliath-Ráth an Dúin,2016,Josepha Madigan
Longford-Westmeath,Magan,Manchán,M,Green Party/ Comhaontas Glas,G.P.,15,0,1370,1102,Excluded,234,30,An Longfort-An Iarmhí,2016,Manchán Magan
Meath West,Malone,John,M,Non-Party,NON-P.,6,0,1928,439,Excluded,183,39,An Mhí Thiar,2016,John Malone
Wexford,Maloney,David,M,Non-Party,NON-P.,14,0,2511,476,Excluded,172,40,Loch Garman,2016,David Maloney
Dublin South-West,Maloney,Eamonn,M,Non-Party,NON-P.,16,0,1056,1627,Excluded,213,19,Baile Átha Cliath Thiar Theas,2016,Eamonn Maloney
Cork North-West,Manning,Cormac,M,Green Party/ Comhaontas Glas,G.P.,9,0,1435,1354,Excluded,187,6,Corcaigh Thiar Thuaidh,2016,Cormac Manning
Carlow-Kilkenny,Manning,Paddy,M,Non-Party,NON-P.,11,0,1776,1078,Excluded,166,1,Ceatharlach-Cill Chainnigh,2016,Paddy Manning
Mayo,Manning,Stephen,M,Non-Party,NON-P.,10,0,3009,157,Excluded,169,32,Maigh Eo,2016,Stephen Manning
Dublin Fingal,Martin,Barry,M,Independents 4 Change,I.4.C,10,0,0,2412,Excluded,166,14,Baile Átha Cliath - Fine Gall,2016,Barry Martin
Dublin Rathdown,Martin,Catherine,F,Green Party/ Comhaontas Glas,G.P.,6,854,0,4122,Elected,225,18,Baile Átha Cliath-Ráth an Dúin,2016,Catherine Martin
Cork South-Central,Martin,Micheál,M,Fianna Fáil,F.F.,11,0,0,11346,Elected,251,7,Corcaigh Theas-Lár,2016,Micheál Martin
Dublin Rathdown,Mathews,Peter,M,Non-Party,NON-P.,6,0,328,2021,Excluded,226,18,Baile Átha Cliath-Ráth an Dúin,2016,Peter Mathews
Wicklow,Matthews,Steven,M,Green Party/ Comhaontas Glas,G.P.,10,0,1123,1350,Excluded,174,41,Cill Mhantáin,2016,Steven Matthews
Dublin North-West,Mcauliffe,Paul,M,Fianna Fáil,F.F.,9,2346,0,4750,Excluded,167,15,Baile Átha Cliath Thiar Thuaidh,2016,Paul Mcauliffe
Donegal,McBrearty,Frank,M,Non-Party,NON-P.,13,0,1074,1914,Excluded,168,9,Dún na nGall,2016,Frank McBrearty
Cork  East,McCarthy,Kieran,M,Non-Party,NON-P.,10,0,828,1635,Excluded,170,4,Corcaigh Thoir,2016,Kieran McCarthy
Cork South-West,McCarthy,Michael,M,The Labour Party,LAB.,5,0,0,3035,Excluded,191,8,Corcaigh Thiar Theas,2016,Michael McCarthy
Cork  East,McCarthy,Noel,M,Fine Gael,F.G.,10,0,0,4406,Excluded,167,4,Corcaigh Thoir,2016,Noel McCarthy
Cork South-West,McCarthy,Rachel,F,Sinn Féin,S.F.,5,0,0,3656,Excluded,194,8,Corcaigh Thiar Theas,2016,Rachel McCarthy
Donegal,McConalogue,Charlie,M,Fianna Fáil,F.F.,13,0,0,12533,Elected,169,9,Dún na nGall,2016,Charlie McConalogue
Cavan-Monaghan,McDermott,Michael,M,Direct Democracy Ireland,D.D.I.,10,0,2504,475,Excluded,164,2,An Cabhán-Muineachán,2016,Michael McDermott
Clare,McDonagh,Michael Malty,M,Fianna Fáil,F.F.,12,3639,0,4726,Excluded,168,3,An Clár,2016,Michael Malty McDonagh
Meath East,McDonagh,Seamus,M,Workers Party,W.P.,9,0,2253,326,Excluded,184,34,An Mhí Thoir,2016,Seamus McDonagh
Dublin Central,McDonald,Mary Lou,F,Sinn Féin,S.F.,11,0,0,5770,Elected,168,11,Baile Átha Cliath Láir,2016,Mary Lou McDonald
Meath West,McElhinney,Tracy,F,The Labour Party,LAB.,6,0,1173,1166,Excluded,184,39,An Mhí Thiar,2016,Tracy McElhinney
Kildare South,McEneaney,Suzanne,F,Green Party/ Comhaontas Glas,G.P.,6,0,1464,836,Excluded,177,187,Cill Dara Theas,2016,Suzanne McEneaney
Meath East,McEntee,Helen,F,Fine Gael,F.G.,9,390,0,7556,Elected,185,34,An Mhí Thoir,2016,Helen McEntee
Longford-Westmeath,McFadden,Gabrielle,F,Fine Gael,F.G.,15,0,0,2836,Excluded,235,30,An Longfort-An Iarmhí,2016,Gabrielle McFadden
Donegal,McGarvey,Ian,M,Non-Party,NON-P.,13,0,2066,982,Excluded,170,9,Dún na nGall,2016,Ian McGarvey
Dublin Bay North,McGrath,Finian,M,Non-Party,NON-P.,15,1080,0,5878,Elected,170,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Finian McGrath
Tipperary,McGrath,Mattie,M,Non-Party,NON-P.,7,0,0,11237,Elected,169,36,Tiobraid Árann,2016,Mattie McGrath
Cork South-Central,McGrath,Michael,M,Fianna Fáil,F.F.,11,0,0,11795,Elected,252,7,Corcaigh Theas-Lár,2016,Michael McGrath
Dublin West,McGuinness,David,M,Non-Party,NON-P.,5,0,0,2991,Excluded,182,20,Baile Átha Thiar,2016,David McGuinness
Carlow-Kilkenny,McGuinness,John,M,Fianna Fáil,F.F.,11,0,0,10528,Elected,167,1,Ceatharlach-Cill Chainnigh,2016,John McGuinness
Donegal,McHugh,Joe,M,Fine Gael,F.G.,13,0,0,8412,Elected,171,9,Dún na nGall,2016,Joe McHugh
Dublin Central,McKay,Cormac,M,Direct Democracy Ireland,D.D.I.,11,0,1419,62,Excluded,169,11,Baile Átha Cliath Láir,2016,Cormac McKay
Dublin North-West,McKay,Cormac,M,Direct Democracy Ireland,D.D.I.,9,0,2126,158,Excluded,168,15,Baile Átha Cliath Thiar Thuaidh,2016,Cormac McKay
Carlow-Kilkenny,McKee,Patrick,M,Renua Ireland,R.I.,11,0,0,2483,Excluded,168,1,Ceatharlach-Cill Chainnigh,2016,Patrick McKee
Longford-Westmeath,McKervey,Noel,M,Catholic Democrats,C.D.,15,0,2077,654,Excluded,236,30,An Longfort-An Iarmhí,2016,Noel McKervey
Sligo-Leitrim,McLoughlin,Tony,M,Fine Gael,F.G.,15,1537,0,6172,Elected,169,35,Sligeach-Liatroim,2016,Tony McLoughlin
Kildare South,McLoughlin Healy,Fiona,F,Fine Gael,F.G.,6,0,0,3250,Excluded,178,187,Cill Dara Theas,2016,Fiona McLoughlin Healy
Dublin South-West,McMahon,Ronan,M,Renua Ireland,R.I.,16,0,0,2906,Excluded,214,19,Baile Átha Cliath Thiar Theas,2016,Ronan McMahon
Meath West,McMenamin,Séamus,M,Green Party/ Comhaontas Glas,G.P.,6,0,236,1421,Excluded,185,39,An Mhí Thiar,2016,Séamus McMenamin
Dublin Mid-West,McNally,Anne-Marie,F,Social Democrats,S.D.,12,3301,0,2633,,198,643,Baile Átha Cliath Thiar-Meán,2016,Anne-Marie McNally
Clare,McNamara,Michael,M,The Labour Party,LAB.,12,0,0,4472,Excluded,169,3,An Clár,2016,Michael McNamara
Cavan-Monaghan,Mee,James,M,Non-Party,NON-P.,10,0,2893,88,Excluded,165,2,An Cabhán-Muineachán,2016,James Mee
Galway East,Melia,Aengus,M,Direct Democracy Ireland,D.D.I.,7,0,2339,489,Excluded,166,22,Gaillimh Thoir,2016,Aengus Melia
Kildare North,Merriman,Ashling,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,9,0,1505,781,Excluded,167,26,Cill Dara Thuaidh,2016,Ashling Merriman
Longford-Westmeath,Miller,James,M,Non-Party,NON-P.,15,0,2533,208,Excluded,237,30,An Longfort-An Iarmhí,2016,James Miller
Dublin Bay North,Mitchell,Denise,F,Sinn Féin,S.F.,15,923,0,5039,Elected,171,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Denise Mitchell
Dún Laoghaire,Mitchell O'Connor,Mary,F,Fine Gael,F.G.,7,0,0,10817,Elected,238,21,Dún Laoghaire,2016,Mary Mitchell O'Connor
Cork South-Central,Mohally,Michael Joseph,M,Non-Party,NON-P.,11,0,2609,170,Excluded,253,7,Corcaigh Theas-Lár,2016,Michael Joseph Mohally
Dublin Fingal,Molloy,Dr. Gerry,M,Renua Ireland,R.I.,10,0,162,2091,Excluded,167,14,Baile Átha Cliath - Fine Gall,2016,Dr. Gerry Molloy
Dublin Bay South,Mooney,Annette,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,8,0,0,1728,Excluded,182,17,Cuan Bhaile Átha Cliath Theas,2016,Annette Mooney
Donegal,Mooney,Michael,M,Non-Party,NON-P.,13,0,2648,397,Excluded,172,9,Dún na nGall,2016,Michael Mooney
Laois,Moore,Sinead,F,Green Party/ Comhaontas Glas,G.P.,3,0,269,1541,Excluded,163,27,Laois,2016,Sinead Moore
Longford-Westmeath,Moran,Kevin 'Boxer',M,Non-Party,NON-P.,15,0,0,7586,Elected,238,30,An Longfort-An Iarmhí,2016,Kevin 'Boxer' Moran
Louth,Moran,Mary,F,The Labour Party,LAB.,11,0,1603,1198,Excluded,169,31,Lú,2016,Mary Moran
Clare,Moran,Noeleen,F,Sinn Féin,S.F.,12,0,0,4216,Excluded,170,3,An Clár,2016,Noeleen Moran
Cork North-Central,Moran,Oliver,M,Green Party/ Comhaontas Glas,G.P.,11,0,69,1693,Excluded,166,5,Corcaigh Thuaidh-Lár,2016,Oliver Moran
Mayo,Moran,Tom,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,10,0,2519,576,Excluded,170,32,Maigh Eo,2016,Tom Moran
Longford-Westmeath,Morgan,James,M,Non-Party,NON-P.,15,0,0,3329,Excluded,239,30,An Longfort-An Iarmhí,2016,James Morgan
Kerry,Moriarty,Norma,F,Fianna Fáil,F.F.,11,0,0,4348,Excluded,172,24,Ciarraí,2016,Norma Moriarty
Tipperary,Morris,Séamus Séan,M,Sinn Féin,S.F.,7,0,0,5724,Excluded,170,36,Tiobraid Árann,2016,Séamus Séan Morris
Cork North-West,Moynihan,Aindrias,M,Fianna Fáil,F.F.,9,0,0,8924,Elected,181,6,Corcaigh Thiar Thuaidh,2016,Aindrias Moynihan
Cork North-West,Moynihan,Michael,M,Fianna Fáil,F.F.,9,1811,0,7332,Elected,180,6,Corcaigh Thiar Thuaidh,2016,Michael Moynihan
Mayo,Mulherin,Michelle,F,Fine Gael,F.G.,10,3137,0,7841,,171,32,Maigh Eo,2016,Michelle Mulherin
Clare,Mulqueen,Dermot,M,Non-Party,NON-P.,12,0,2812,39,Excluded,171,3,An Clár,2016,Dermot Mulqueen
Louth,Munster,Imelda,F,Sinn Féin,S.F.,11,0,0,8829,Elected,170,31,Lú,2016,Imelda Munster
Carlow-Kilkenny,Murnane-O'Connor,Jennifer,F,Fianna Fáil,F.F.,11,2151,0,8373,,169,1,Ceatharlach-Cill Chainnigh,2016,Jennifer Murnane-O'Connor
Kildare North,Murphy,Catherine,F,Social Democrats,S.D.,9,0,0,11108,Elected,168,26,Cill Dara Thuaidh,2016,Catherine Murphy
Cork North-Central,Murphy,Dara,M,Fine Gael,F.G.,11,979,0,5264,Elected,167,5,Corcaigh Thuaidh-Lár,2016,Dara Murphy
Dublin Bay South,Murphy,Eoghan,M,Fine Gael,F.G.,8,0,0,6567,Elected,183,17,Cuan Bhaile Átha Cliath Theas,2016,Eoghan Murphy
Roscommon-Galway,Murphy,Eugene,M,Fianna Fáil,F.F.,8,1317,0,6813,Elected,170,996,Ros Comáin-Gaillimh,2016,Eugene Murphy
Kerry,Murphy,Kevin,M,Non-Party,NON-P.,11,0,2799,464,Excluded,173,24,Ciarraí,2016,Kevin Murphy
Tipperary,Murphy,Marie,F,Fine Gael,F.G.,7,0,1707,1542,Excluded,171,36,Tiobraid Árann,2016,Marie Murphy
Cork North-Central,Murphy,Mick,M,Non-Party,NON-P.,11,0,2294,215,Excluded,168,5,Corcaigh Thuaidh-Lár,2016,Mick Murphy
Dublin South-West,Murphy,Paul,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,16,0,0,9005,Elected,215,19,Baile Átha Cliath Thiar Theas,2016,Paul Murphy
Dublin Fingal,Murphy,Tony,M,Non-Party,NON-P.,10,0,0,2503,Excluded,168,14,Baile Átha Cliath - Fine Gall,2016,Tony Murphy
Cork South-West,Murphy O'Mahony,Margaret,F,Fianna Fáil,F.F.,5,0,0,8482,Elected,192,8,Corcaigh Thiar Theas,2016,Margaret Murphy O'Mahony
Sligo-Leitrim,Murray,Eamon,M,Non-Party,NON-P.,15,0,2762,356,Excluded,170,35,Sligeach-Liatroim,2016,Eamon Murray
Dublin South-Central,Murray,Richard,M,Non-Party,NON-P.,11,0,1850,294,Excluded,169,16,Baile Átha Cliath Theas-Lár,2016,Richard Murray
Wexford,Mythen,John,M,Sinn Féin,S.F.,14,2292,0,7260,Excluded,173,40,Loch Garman,2016,John Mythen
Louth,Nash,Ged,M,The Labour Party,LAB.,11,2509,0,4945,,171,31,Lú,2016,Ged Nash
Roscommon-Galway,Naughten,Denis,M,Non-Party,NON-P.,8,0,0,13936,Elected,171,996,Ros Comáin-Gaillimh,2016,Denis Naughten
Galway West,Naughton,Hildegarde,F,Fine Gael,F.G.,14,1583,0,4567,Elected,173,23,Gaillimh Thiar,2016,Hildegarde Naughton
Limerick County,Neville,Tom,M,Fine Gael,F.G.,6,735,0,8013,Elected,164,29,Contae Luimnigh,2016,Tom Neville
Galway East,Ní Chróinín,Máiréad,F,Green Party/ Comhaontas Glas,G.P.,7,0,2059,769,Excluded,167,22,Gaillimh Thoir,2016,Máiréad Ní Chróinín
Kildare North,Ní Fhallúin,Maebh,F,Green Party/ Comhaontas Glas,G.P.,9,0,29,1485,Excluded,169,26,Cill Dara Thuaidh,2016,Maebh Ní Fhallúin
Dublin Rathdown,Nic Cormaic,Sorcha,F,Sinn Féin,S.F.,6,0,0,2858,Excluded,227,18,Baile Átha Cliath-Ráth an Dúin,2016,Sorcha Nic Cormaic
Donegal,NicFhearraigh,Cordelia,F,Fís Nua,F.N.,13,0,2985,70,Excluded,173,9,Dún na nGall,2016,Cordelia NicFhearraigh
Offaly,Nolan,Carol,F,Sinn Féin,S.F.,7,2119,0,4804,Elected,169,37,Uíbh Fhailí,2016,Carol Nolan
Galway West,Nolan,Derek,M,The Labour Party,LAB.,14,0,0,3220,Excluded,174,23,Gaillimh Thiar,2016,Derek Nolan
Carlow-Kilkenny,Noonan,Malcolm,M,Green Party/ Comhaontas Glas,G.P.,11,0,0,2621,Excluded,170,1,Ceatharlach-Cill Chainnigh,2016,Malcolm Noonan
Limerick City,Noonan,Michael,M,Fine Gael,F.G.,6,42,0,7294,Elected,164,28,Cathair Luimnigh,2016,Michael Noonan
Dublin West,Noone,Catherine,F,Fine Gael,F.G.,5,0,973,1074,Excluded,183,20,Baile Átha Thiar,2016,Catherine Noone
Clare,Norton,Ann,F,Non-Party,NON-P.,12,0,0,2240,Excluded,172,3,An Clár,2016,Ann Norton
Dublin Mid-West,Ó Broin,Eoin,M,Sinn Féin,S.F.,12,0,0,9782,Elected,199,643,Baile Átha Cliath Thiar-Meán,2016,Eoin Ó Broin
Meath East,Ó Buachalla,Seán,M,Green Party/ Comhaontas Glas,G.P.,9,0,1735,766,Excluded,188,34,An Mhí Thoir,2016,Seán Ó Buachalla
Cork South-Central,Ó Cadhla,Diarmaid,M,Non-Party,NON-P.,11,0,1597,869,Excluded,254,7,Corcaigh Theas-Lár,2016,Diarmaid Ó Cadhla
Cavan-Monaghan,Ó Caoláin,Caoimhghín,M,Sinn Féin,S.F.,10,0,0,10060,Elected,166,2,An Cabhán-Muineachán,2016,Caoimhghín Ó Caoláin
Kildare South,Ó Fearghaíl,Seán,M,Fianna Fáil,F.F.,6,977,0,6469,Elected,179,187,Cill Dara Theas,2016,Seán Ó Fearghaíl
Dublin South-Central,Ó Halmhain,Oisín,M,Green Party/ Comhaontas Glas,G.P.,11,0,630,1410,Excluded,170,16,Baile Átha Cliath Theas-Lár,2016,Oisín Ó Halmhain
Cork South-Central,Ó Laoghaire,Donnchadh Uinseann,M,Sinn Féin,S.F.,11,484,0,6986,Elected,256,7,Corcaigh Theas-Lár,2016,Donnchadh Uinseann Ó Laoghaire
Galway West,O Mahony,John,M,Fine Gael,F.G.,14,0,0,4734,Excluded,175,23,Gaillimh Thiar,2016,John O Mahony
Dublin Bay North,Ó Muirí,Naoise,M,Fine Gael,F.G.,15,0,0,2868,Excluded,175,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Naoise Ó Muirí
Dublin Bay North,Ó Ríordáin,Aodhán,M,The Labour Party,LAB.,15,1942,0,5675,,177,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Aodhán Ó Ríordáin
Dublin South-Central,Ó Snodaigh,Aengus,M,Sinn Féin,S.F.,11,0,0,6639,Elected,171,16,Baile Átha Cliath Theas-Lár,2016,Aengus Ó Snodaigh
Galway West,Ó Tuathail,Niall,M,Social Democrats,S.D.,14,0,0,3455,Excluded,177,23,Gaillimh Thiar,2016,Niall Ó Tuathail
Cork North-West,O’ Donnell,Michael,M,Communist Party of Ireland,C.P.I.,9,0,2751,185,Excluded,198,6,Corcaigh Thiar Thuaidh,2016,Michael O’ Donnell
Cork South-West,O’ Mahony,Johnny,M,Green Party/ Comhaontas Glas,G.P.,5,0,1952,752,Excluded,201,8,Corcaigh Thiar Theas,2016,Johnny O’ Mahony
Mayo,O'Boyle,Gerry,M,Non-Party,NON-P.,10,0,3053,126,Excluded,172,32,Maigh Eo,2016,Gerry O'Boyle
Dublin Fingal,O'Brien,Darragh,M,Fianna Fáil,F.F.,10,0,0,10826,Elected,170,14,Baile Átha Cliath - Fine Gall,2016,Darragh O'Brien
Limerick County,O'Brien,Emmett,M,Non-Party,NON-P.,6,1623,0,5432,Excluded,165,29,Contae Luimnigh,2016,Emmett O'Brien
Dublin West,O'Brien,Jo,F,Renua Ireland,R.I.,5,0,1421,677,Excluded,184,20,Baile Átha Thiar,2016,Jo O'Brien
