Constituency,Surname,First Name,Gender,Party,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm,Year,Full Name
Mayo,Cowley,Jerry,M,Non-Party,NON-P.,10,0,0,3479,Excluded,163,32,Maigh Eo,2016,Jerry Cowley
Dublin South-Central,Coyne,Liam,M,Social Democrats,S.D.,11,0,0,2434,Excluded,165,16,Baile Átha Cliath Theas-Lár,2016,Liam Coyne
Cork North-West,Creed,Michael,M,Fine Gael,F.G.,9,0,0,8869,Elected,178,6,Corcaigh Thiar Thuaidh,2016,Michael Creed
Dublin Bay South,Creighton,Lucinda,F,Renua Ireland,R.I.,8,0,0,4229,Excluded,175,17,Cuan Bhaile Átha Cliath Theas,2016,Lucinda Creighton
Wicklow,Cronin,Avril,F,Fine Gael,F.G.,10,0,546,2091,Excluded,164,41,Cill Mhantáin,2016,Avril Cronin
Dún Laoghaire,Cronin,Frank,M,Renua Ireland,R.I.,7,0,1891,1812,Excluded,234,21,Dún Laoghaire,2016,Frank Cronin
Kildare North,Cronin,Réada,F,Sinn Féin,S.F.,9,0,0,3205,Excluded,161,26,Cill Dara Thuaidh,2016,Réada Cronin
Kildare South,Crowe,Declan,M,Non-Party,NON-P.,6,0,0,2143,Excluded,174,187,Cill Dara Theas,2016,Declan Crowe
Dublin South-West,Crowe,Seán,M,Sinn Féin,S.F.,16,0,0,6974,Elected,204,19,Baile Átha Cliath Thiar Theas,2016,Seán Crowe
Galway West,Cubbard,Mike,M,Non-Party,NON-P.,14,0,145,2122,Excluded,164,23,Gaillimh Thiar,2016,Mike Cubbard
Wicklow,Cuffe,Jennifer,F,Fianna Fáil,F.F.,10,0,0,2990,Excluded,165,41,Cill Mhantáin,2016,Jennifer Cuffe
Waterford,Cullinane,David,M,Sinn Féin,S.F.,9,0,0,9739,Elected,164,38,Port  Lairge,2016,David Cullinane
Dublin Mid-West,Curran,John,M,Fianna Fáil,F.F.,12,0,0,6971,Elected,188,643,Baile Átha Cliath Thiar-Meán,2016,John Curran
Roscommon-Galway,Curran,Shane,M,Fianna Fáil,F.F.,8,0,467,2006,Excluded,161,996,Ros Comáin-Gaillimh,2016,Shane Curran
Cork  East,Curtin,Ken,M,Social Democrats,S.D.,10,0,1071,1386,Excluded,172,4,Corcaigh Thoir,2016,Ken Curtin
Dublin Fingal,Daly,Clare,F,Independents 4 Change,I.4.C,10,0,0,9480,Elected,161,14,Baile Átha Cliath - Fine Gall,2016,Clare Daly
Cork South-West,Daly,Jim,M,Fine Gael,F.G.,5,1016,0,7370,Elected,189,8,Corcaigh Thiar Theas,2016,Jim Daly
Wexford,D'arcy,Michael,M,Fine Gael,F.G.,14,299,0,7798,Elected,164,40,Loch Garman,2016,Michael D'arcy
Dublin Rathdown,Daveron,Alan,M,Renua Ireland,R.I.,6,0,1514,1055,Excluded,223,18,Baile Átha Cliath-Ráth an Dúin,2016,Alan Daveron
Galway West,Daveron,Nicola,F,Renua Ireland,R.I.,14,0,1653,994,Excluded,166,23,Gaillimh Thiar,2016,Nicola Daveron
Dublin Fingal,De Brun,Dr. Marcus,M,Non-Party,NON-P.,10,0,1884,627,Excluded,162,14,Baile Átha Cliath - Fine Gall,2016,Dr. Marcus De Brun
Louth,Dearey,Mark,M,Green Party/ Comhaontas Glas,G.P.,11,0,0,3187,Excluded,166,31,Lú,2016,Mark Dearey
Waterford,Deasy,John,M,Fine Gael,F.G.,9,670,0,7641,Elected,165,38,Port  Lairge,2016,John Deasy
Kerry,Deenihan,Jimmy,M,Fine Gael,F.G.,11,3434,0,6489,,162,24,Ciarraí,2016,Jimmy Deenihan
Carlow-Kilkenny,Deering,Pat,M,Fine Gael,F.G.,11,520,0,6562,Elected,161,1,Ceatharlach-Cill Chainnigh,2016,Pat Deering
Cork North-West,Dennehy,Nigel,M,Sinn Féin,S.F.,9,0,0,3238,Excluded,182,6,Corcaigh Thiar Thuaidh,2016,Nigel Dennehy
Dublin South-West,Dermody,Anne-Marie,F,Fine Gael,F.G.,16,1709,0,6463,,205,19,Baile Átha Cliath Thiar Theas,2016,Anne-Marie Dermody
Dublin South-Central,Devine,Máire,F,Sinn Féin,S.F.,11,0,0,3332,Excluded,166,16,Baile Átha Cliath Theas-Lár,2016,Máire Devine
Dún Laoghaire,Devlin,Cormac,M,Fianna Fáil,F.F.,7,0,0,4665,Excluded,235,21,Dún Laoghaire,2016,Cormac Devlin
Dublin North-West,Dignam,Jimmy,M,Workers Party,W.P.,9,0,1551,692,Excluded,162,15,Baile Átha Cliath Thiar Thuaidh,2016,Jimmy Dignam
Tipperary,Dillon,Michael,M,Non-Party,NON-P.,7,0,3011,238,Excluded,163,36,Tiobraid Árann,2016,Michael Dillon
Donegal,Doherty,Gary,M,Sinn Féin,S.F.,13,0,0,4136,Excluded,160,9,Dún na nGall,2016,Gary Doherty
Donegal,Doherty,Pearse,M,Sinn Féin,S.F.,13,0,0,10300,Elected,161,9,Dún na nGall,2016,Pearse Doherty
Meath East,Doherty,Regina,F,Fine Gael,F.G.,9,736,0,6830,Elected,180,34,An Mhí Thoir,2016,Regina Doherty
Dublin West,Donnelly,Paul,M,Sinn Féin,S.F.,5,1300,0,6034,,181,20,Baile Átha Thiar,2016,Paul Donnelly
Wicklow,Donnelly,Stephen,M,Social Democrats,S.D.,10,0,0,14348,Elected,166,41,Cill Mhantáin,2016,Stephen Donnelly
Dublin Central,Donohoe,Paschal,M,Fine Gael,F.G.,11,475,0,3226,Elected,162,11,Baile Átha Cliath Láir,2016,Paschal Donohoe
Clare,Dooley,Timmy,M,Fianna Fáil,F.F.,12,0,0,10215,Elected,164,3,An Clár,2016,Timmy Dooley
Wicklow,Doyle,Andrew,M,Fine Gael,F.G.,10,1074,0,6045,Elected,167,41,Cill Mhantáin,2016,Andrew Doyle
Wicklow,Doyle,Anna,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,10,0,2213,539,Excluded,168,41,Cill Mhantáin,2016,Anna Doyle
Dublin South-West,Duff,Mick,M,The Labour Party,LAB.,16,0,684,1743,Excluded,206,19,Baile Átha Cliath Thiar Theas,2016,Mick Duff
Dublin South-West,Duffy,Francis Noel,M,Green Party/ Comhaontas Glas,G.P.,16,0,1467,1297,Excluded,207,19,Baile Átha Cliath Thiar Theas,2016,Francis Noel Duffy
Kildare North,Dunne,Ger,M,Non-Party,NON-P.,9,0,2187,249,Excluded,162,26,Cill Dara Thuaidh,2016,Ger Dunne
Waterford,Dunphy,Úna,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,9,0,729,1646,Excluded,166,38,Port  Lairge,2016,Úna Dunphy
Kildare North,Durkan,Bernard,M,Fine Gael,F.G.,9,898,0,6147,Elected,163,26,Cill Dara Thuaidh,2016,Bernard Durkan
Cavan-Monaghan,Durkan,Mike,M,Fianna Fáil,F.F.,10,0,0,2909,Excluded,162,2,An Cabhán-Muineachán,2016,Mike Durkan
Wexford,Dwyer,John,M,Non-Party,NON-P.,14,0,1625,1265,Excluded,165,40,Loch Garman,2016,John Dwyer
Dublin North-West,Ellis,Dessie,M,Sinn Féin,S.F.,9,0,0,7571,Elected,163,15,Baile Átha Cliath Thiar Thuaidh,2016,Dessie Ellis
Meath West,English,Damien,M,Fine Gael,F.G.,6,0,0,8123,Elected,180,39,An Mhí Thiar,2016,Damien English
Longford-Westmeath,Fagan,Brian,M,Non-Party,NON-P.,15,0,1711,897,Excluded,229,30,An Longfort-An Iarmhí,2016,Brian Fagan
Galway East,Fahy,Michael,M,Non-Party,NON-P.,7,0,410,2358,Excluded,163,22,Gaillimh Thoir,2016,Michael Fahy
Roscommon-Galway,Fallon,Thomas Declan,M,Non-Party,NON-P.,8,0,2768,75,Excluded,163,996,Ros Comáin-Gaillimh,2016,Thomas Declan Fallon
Dublin Fingal,Farrell,Alan,M,Fine Gael,F.G.,10,100,0,7514,Elected,163,14,Baile Átha Cliath - Fine Gall,2016,Alan Farrell
Roscommon-Galway,Farrell,Anne,F,Renua Ireland,R.I.,8,0,2240,520,Excluded,164,996,Ros Comáin-Gaillimh,2016,Anne Farrell
Mayo,Farrington,Michael Patrick,M,Renua Ireland,R.I.,10,0,1524,1574,Excluded,164,32,Maigh Eo,2016,Michael Patrick Farrington
Dublin South-West,Fay,Sandra,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,16,0,0,3241,Excluded,208,19,Baile Átha Cliath Thiar Theas,2016,Sandra Fay
Galway West,Feeney,Patrick,M,Non-Party,NON-P.,14,0,2657,22,Excluded,167,23,Gaillimh Thiar,2016,Patrick Feeney
Wicklow,Ferris,Anne,F,The Labour Party,LAB.,10,0,0,2634,Excluded,169,41,Cill Mhantáin,2016,Anne Ferris
Kerry,Ferris,Martin,M,Sinn Féin,S.F.,11,249,0,9458,Elected,163,24,Ciarraí,2016,Martin Ferris
Offaly,Fettes,Christopher,M,Green Party/ Comhaontas Glas,G.P.,7,0,2221,525,Excluded,164,37,Uíbh Fhailí,2016,Christopher Fettes
Sligo-Leitrim,Filan,Finbarr,M,Renua Ireland,R.I.,15,0,2205,881,Excluded,163,35,Sligeach-Liatroim,2016,Finbarr Filan
Cork South-Central,Finn,Mick,M,Non-Party,NON-P.,11,0,0,2378,Excluded,246,7,Corcaigh Theas-Lár,2016,Mick Finn
Kerry,Finucane,Brian,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,1875,981,Excluded,164,24,Ciarraí,2016,Brian Finucane
Carlow-Kilkenny,Fitzgerald,David,M,Fine Gael,F.G.,11,0,0,5017,Excluded,162,1,Ceatharlach-Cill Chainnigh,2016,David Fitzgerald
Dublin Mid-West,Fitzgerald,Frances,F,Fine Gael,F.G.,12,0,0,9028,Elected,189,643,Baile Átha Cliath Thiar-Meán,2016,Frances Fitzgerald
Cork North-West,Fitzgerald,Jason,M,Renua Ireland,R.I.,9,0,1056,1568,Excluded,188,6,Corcaigh Thiar Thuaidh,2016,Jason Fitzgerald
Kerry,Fitzgerald,Michael,M,Green Party/ Comhaontas Glas,G.P.,11,0,2082,1011,Excluded,165,24,Ciarraí,2016,Michael Fitzgerald
Kildare North,Fitzgerald,Shane,M,Renua Ireland,R.I.,9,0,1212,994,Excluded,164,26,Cill Dara Thuaidh,2016,Shane Fitzgerald
Tipperary,Fitzgibbon,Gearóid,M,Green Party/ Comhaontas Glas,G.P.,7,0,1908,1341,Excluded,164,36,Tiobraid Árann,2016,Gearóid Fitzgibbon
Kerry,Fitzgibbon,Mary Elizabeth,F,Non-Party,NON-P.,11,0,2552,635,Excluded,166,24,Ciarraí,2016,Mary Elizabeth Fitzgibbon
Roscommon-Galway,Fitzmaurice,Michael,M,Non-Party,NON-P.,8,0,0,9750,Elected,165,996,Ros Comáin-Gaillimh,2016,Michael Fitzmaurice
Offaly,Fitzpatrick,Eddie,M,Fianna Fáil,F.F.,7,2289,0,3394,Excluded,165,37,Uíbh Fhailí,2016,Eddie Fitzpatrick
Dublin Central,Fitzpatrick,Mary,F,Fianna Fáil,F.F.,11,0,0,2508,Excluded,163,11,Baile Átha Cliath Láir,2016,Mary Fitzpatrick
Louth,Fitzpatrick,Peter,M,Fine Gael,F.G.,11,2123,0,6408,Elected,167,31,Lú,2016,Peter Fitzpatrick
Dublin South-West,Fitzpatrick,Peter,M,Non-Party,NON-P.,16,0,0,2812,Excluded,209,19,Baile Átha Cliath Thiar Theas,2016,Peter Fitzpatrick
Laois,Flanagan,Charlie,M,Fine Gael,F.G.,3,193,0,8370,Elected,161,27,Laois,2016,Charlie Flanagan
Donegal,Flanagan,Paula Mary,F,Green Party/ Comhaontas Glas,G.P.,13,0,2612,428,Excluded,162,9,Dún na nGall,2016,Paula Mary Flanagan
Dublin Bay North,Flanagan,Terence,M,Renua Ireland,R.I.,15,0,0,3205,Excluded,164,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Terence Flanagan
Laois,Fleming,Seán,M,Fianna Fáil,F.F.,3,0,0,13626,Elected,162,27,Laois,2016,Seán Fleming
Dublin Bay South,Flynn,Mannix,M,Non-Party,NON-P.,8,0,338,1525,Excluded,176,17,Cuan Bhaile Átha Cliath Theas,2016,Mannix Flynn
Offaly,Foley,John,M,Non-Party,NON-P.,7,0,0,4200,Excluded,166,37,Uíbh Fhailí,2016,John Foley
Mayo,Forkin,Sean,M,Non-Party,NON-P.,10,0,3141,42,Excluded,165,32,Maigh Eo,2016,Sean Forkin
Wexford,Foxe,Caroline,F,Non-Party,NON-P.,14,0,2031,930,Excluded,166,40,Loch Garman,2016,Caroline Foxe
Dublin Fingal,Fuller,Roslyn,F,Non-Party,NON-P.,10,0,1742,772,Excluded,164,14,Baile Átha Cliath - Fine Gall,2016,Roslyn Fuller
Carlow-Kilkenny,Funchion,Kathleen,F,Sinn Féin,S.F.,11,0,0,8700,Elected,163,1,Ceatharlach-Cill Chainnigh,2016,Kathleen Funchion
Limerick City,Gaffney,James,M,Green Party/ Comhaontas Glas,G.P.,6,0,1258,964,Excluded,161,28,Cathair Luimnigh,2016,James Gaffney
Sligo-Leitrim,Gallagher,Nigel,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,15,0,1044,1768,Excluded,164,35,Sligeach-Liatroim,2016,Nigel Gallagher
Donegal,Gallagher,Pat The Cope,M,Fianna Fáil,F.F.,13,0,0,10198,Elected,163,9,Dún na nGall,2016,Pat The Cope Gallagher
Dublin Central,Gannon,Gary,M,Social Democrats,S.D.,11,974,0,2307,Excluded,164,11,Baile Átha Cliath Láir,2016,Gary Gannon
Dublin South-Central,Gargan,Michael,M,Renua Ireland,R.I.,11,0,1201,893,Excluded,167,16,Baile Átha Cliath Theas-Lár,2016,Michael Gargan
Kerry,Gaynor,Henry,M,Non-Party,NON-P.,11,0,3146,147,Excluded,167,24,Ciarraí,2016,Henry Gaynor
Longford-Westmeath,Gerety-Quinn,Connie,F,Fianna Fáil,F.F.,15,0,0,3943,Excluded,230,30,An Longfort-An Iarmhí,2016,Connie Gerety-Quinn
Dublin Central,Gilbourne,Jacqui,F,Renua Ireland,R.I.,11,0,1142,330,Excluded,165,11,Baile Átha Cliath Láir,2016,Jacqui Gilbourne
Carlow-Kilkenny,Gilligan,Keith Martin,M,Non-Party,NON-P.,11,0,2462,456,Excluded,164,1,Ceatharlach-Cill Chainnigh,2016,Keith Martin Gilligan
Meath East,Gilroy,Ben,M,Direct Democracy Ireland,D.D.I.,9,0,1689,794,Excluded,181,34,An Mhí Thoir,2016,Ben Gilroy
Dublin Mid-West,Gogarty,Paul Nicholas,M,Non-Party,NON-P.,12,0,0,2522,Excluded,190,643,Baile Átha Cliath Thiar-Meán,2016,Paul Nicholas Gogarty
Meath West,Golden,Trevor,M,Non-Party,NON-P.,6,0,0,1718,Excluded,181,39,An Mhí Thiar,2016,Trevor Golden
Dublin Central,Gorman,William  D.j.,M,Non-Party,NON-P.,11,0,1454,27,Excluded,166,11,Baile Átha Cliath Láir,2016,William  D.j. Gorman
Dublin Bay South,Gorman,William D.j.,M,Non-Party,NON-P.,8,0,1889,97,Excluded,177,17,Cuan Bhaile Átha Cliath Theas,2016,William D.j. Gorman
Cork North-Central,Gould,Thomas,M,Sinn Féin,S.F.,11,0,0,3773,Excluded,161,5,Corcaigh Thuaidh-Lár,2016,Thomas Gould
Galway West,Grealish,Noel,M,Non-Party,NON-P.,14,0,0,7187,Elected,168,23,Gaillimh Thiar,2016,Noel Grealish
Louth,Greene,Patrick,M,Direct Democracy Ireland,D.D.I.,11,0,2687,127,Excluded,168,31,Lú,2016,Patrick Greene
Kerry,Griffin,Brendan,M,Fine Gael,F.G.,11,0,0,9674,Elected,169,24,Ciarraí,2016,Brendan Griffin
Cork North-West,Griffin,Shirley,F,Non-Party,NON-P.,9,0,2497,439,Excluded,186,6,Corcaigh Thiar Thuaidh,2016,Shirley Griffin
Sligo-Leitrim,Guckian,Des,M,Non-Party,NON-P.,15,0,1964,1060,Excluded,165,35,Sligeach-Liatroim,2016,Des Guckian
Dublin Bay North,Guerin,Jimmy,M,Non-Party,NON-P.,15,0,2286,756,Excluded,165,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Jimmy Guerin
Dublin Central,Guinan,Kerry,F,Non-Party,NON-P.,11,0,1423,58,Excluded,167,11,Baile Átha Cliath Láir,2016,Kerry Guinan
Waterford,Halligan,John,M,Non-Party,NON-P.,9,0,0,8306,Elected,167,38,Port  Lairge,2016,John Halligan
Dún Laoghaire,Hanafin,Mary,F,Fianna Fáil,F.F.,7,3841,0,6478,,236,21,Dún Laoghaire,2016,Mary Hanafin
Dublin South-Central,Hand,Paul,M,Non-Party,NON-P.,11,0,0,2011,Excluded,168,16,Baile Átha Cliath Theas-Lár,2016,Paul Hand
Meath East,Hannigan,Dominic,M,The Labour Party,LAB.,9,0,0,2270,Excluded,182,34,An Mhí Thoir,2016,Dominic Hannigan
Offaly,Hannigan,Joe,M,Non-Party,NON-P.,7,0,0,5188,Excluded,167,37,Uíbh Fhailí,2016,Joe Hannigan
Cork South-West,Harrington,Noel,M,Fine Gael,F.G.,5,2607,0,6433,,190,8,Corcaigh Thiar Theas,2016,Noel Harrington
Cork South-Central,Harris,Joe,M,Non-Party,NON-P.,11,0,2397,350,Excluded,247,7,Corcaigh Theas-Lár,2016,Joe Harris
Wicklow,Harris,Simon,M,Fine Gael,F.G.,10,0,0,10819,Elected,170,41,Cill Mhantáin,2016,Simon Harris
Donegal,Harte,Paddy,M,Fine Gael,F.G.,13,0,0,2831,Excluded,164,9,Dún na nGall,2016,Paddy Harte
Clare,Harty,Michael,M,Non-Party,NON-P.,12,0,0,8629,Elected,165,3,An Clár,2016,Michael Harty
Cork  East,Harty,Natasha,F,Green Party/ Comhaontas Glas,G.P.,10,0,1835,806,Excluded,165,4,Corcaigh Thoir,2016,Natasha Harty
Dublin Bay North,Haughey,Seán,M,Fianna Fáil,F.F.,15,0,0,8007,Elected,166,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Seán Haughey
Limerick City,Hayes,Des,M,Non-Party,NON-P.,6,0,2025,254,Excluded,162,28,Cathair Luimnigh,2016,Des Hayes
Tipperary,Hayes,Tom,M,Fine Gael,F.G.,7,2555,0,6218,,165,36,Tiobraid Árann,2016,Tom Hayes
Dublin Mid-West,Healy,Christopher,M,Direct Democracy Ireland,D.D.I.,12,0,1976,167,Excluded,191,643,Baile Átha Cliath Thiar-Meán,2016,Christopher Healy
Tipperary,Healy,Seamus,M,Non-Party,NON-P.,7,118,0,7452,Elected,166,36,Tiobraid Árann,2016,Seamus Healy
Longford-Westmeath,Healy,Stephanie,F,Direct Democracy Ireland,D.D.I.,15,0,2631,132,Excluded,231,30,An Longfort-An Iarmhí,2016,Stephanie Healy
Galway West,Healy Eames,Dr. Fidelma,F,Non-Party,NON-P.,14,0,1021,1394,Excluded,169,23,Gaillimh Thiar,2016,Dr. Fidelma Healy Eames
Kerry,Healy-Rae,Danny,M,Non-Party,NON-P.,11,0,0,9991,Elected,170,24,Ciarraí,2016,Danny Healy-Rae
Kerry,Healy-Rae,Michael,M,Non-Party,NON-P.,11,0,0,20378,Elected,171,24,Ciarraí,2016,Michael Healy-Rae
Cork South-West,Heaney,Theresa,F,Catholic Democrats,C.D.,5,0,2018,686,Excluded,200,8,Corcaigh Thiar Theas,2016,Theresa Heaney
Limerick County,Heffernan,James,M,Social Democrats,S.D.,6,0,0,3270,Excluded,162,29,Contae Luimnigh,2016,James Heffernan
Dublin Bay North,Heney,Deirdre,F,Fianna Fáil,F.F.,15,0,0,3360,Excluded,167,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Deirdre Heney
Limerick City,Hennelly,Sarah Jane,F,Social Democrats,S.D.,6,0,0,2747,Excluded,163,28,Cathair Luimnigh,2016,Sarah Jane Hennelly
Dublin Mid-West,Hennessy,Lorraine,F,Workers Party,W.P.,12,0,1543,502,Excluded,192,643,Baile Átha Cliath Thiar-Meán,2016,Lorraine Hennessy
Roscommon-Galway,Hennessy,Miriam,F,Green Party/ Comhaontas Glas,G.P.,8,0,2549,286,Excluded,166,996,Ros Comáin-Gaillimh,2016,Miriam Hennessy
Kildare South,Heydon,Martin,M,Fine Gael,F.G.,6,0,0,7851,Elected,175,187,Cill Dara Theas,2016,Martin Heydon
Galway East,Higgins,Lorraine,F,The Labour Party,LAB.,7,0,0,4531,Excluded,164,22,Gaillimh Thoir,2016,Lorraine Higgins
Galway West,Hoade,Mary,F,Fianna Fáil,F.F.,14,0,5,2205,Excluded,170,23,Gaillimh Thiar,2016,Mary Hoade
Wexford,Hogan,Julie,F,Fine Gael,F.G.,14,0,1682,1214,Excluded,167,40,Loch Garman,2016,Julie Hogan
Longford-Westmeath,Hogan,Paul,M,Sinn Féin,S.F.,15,3226,0,5270,,232,30,An Longfort-An Iarmhí,2016,Paul Hogan
