Constituency Ainm,Year,Full Name,
Galway West,2016,Mike Cubbard,M
Wicklow,2016,Jennifer Cuffe,F
Waterford,2016,David Cullinane,M
Dublin Mid-West,2016,John Curran,M
Roscommon-Galway,2016,Shane Curran,M
Cork  East,2016,Ken Curtin,M
Dublin Fingal,2016,Clare Daly,F
Cork South-West,2016,Jim Daly,M
Wexford,2016,Michael D'arcy,M
Dublin Rathdown,2016,Alan Daveron,M
Galway West,2016,Nicola Daveron,F
Dublin Fingal,2016,Dr. Marcus De Brun,M
Louth,2016,Mark Dearey,M
Waterford,2016,John Deasy,M
Kerry,2016,Jimmy Deenihan,M
Carlow-Kilkenny,2016,Pat Deering,M
Cork North-West,2016,Nigel Dennehy,M
Dublin South-West,2016,Anne-Marie Dermody,F
Dublin South-Central,2016,Máire Devine,F
Dún Laoghaire,2016,Cormac Devlin,M
Dublin North-West,2016,Jimmy Dignam,M
Tipperary,2016,Michael Dillon,M
Donegal,2016,Gary Doherty,M
Donegal,2016,Pearse Doherty,M
Meath East,2016,Regina Doherty,F
Dublin West,2016,Paul Donnelly,M
Wicklow,2016,Stephen Donnelly,M
Dublin Central,2016,Paschal Donohoe,M
Clare,2016,Timmy Dooley,M
Wicklow,2016,Andrew Doyle,M
Wicklow,2016,Anna Doyle,F
Dublin South-West,2016,Mick Duff,M
Dublin South-West,2016,Francis Noel Duffy,M
Kildare North,2016,Ger Dunne,M
Waterford,2016,Úna Dunphy,F
Kildare North,2016,Bernard Durkan,M
Cavan-Monaghan,2016,Mike Durkan,M
Wexford,2016,John Dwyer,M
Dublin North-West,2016,Dessie Ellis,M
Meath West,2016,Damien English,M
Longford-Westmeath,2016,Brian Fagan,M
Galway East,2016,Michael Fahy,M
Roscommon-Galway,2016,Thomas Declan Fallon,M
Dublin Fingal,2016,Alan Farrell,M
Roscommon-Galway,2016,Anne Farrell,F
Mayo,2016,Michael Patrick Farrington,M
Dublin South-West,2016,Sandra Fay,F
Galway West,2016,Patrick Feeney,M
Wicklow,2016,Anne Ferris,F
Kerry,2016,Martin Ferris,M
Offaly,2016,Christopher Fettes,M
Sligo-Leitrim,2016,Finbarr Filan,M
Cork South-Central,2016,Mick Finn,M
Kerry,2016,Brian Finucane,M
Carlow-Kilkenny,2016,David Fitzgerald,M
Dublin Mid-West,2016,Frances Fitzgerald,F
Cork North-West,2016,Jason Fitzgerald,M
Kerry,2016,Michael Fitzgerald,M
Kildare North,2016,Shane Fitzgerald,M
Tipperary,2016,Gearóid Fitzgibbon,M
Kerry,2016,Mary Elizabeth Fitzgibbon,F
Roscommon-Galway,2016,Michael Fitzmaurice,M
Offaly,2016,Eddie Fitzpatrick,M
Dublin Central,2016,Mary Fitzpatrick,F
Louth,2016,Peter Fitzpatrick,M
Dublin South-West,2016,Peter Fitzpatrick,M
Laois,2016,Charlie Flanagan,M
Donegal,2016,Paula Mary Flanagan,F
Dublin Bay North,2016,Terence Flanagan,M
Laois,2016,Seán Fleming,M
Dublin Bay South,2016,Mannix Flynn,M
Offaly,2016,John Foley,M
Mayo,2016,Sean Forkin,M
Wexford,2016,Caroline Foxe,F
Dublin Fingal,2016,Roslyn Fuller,F
Carlow-Kilkenny,2016,Kathleen Funchion,F
Limerick City,2016,James Gaffney,M
Sligo-Leitrim,2016,Nigel Gallagher,M
Donegal,2016,Pat The Cope Gallagher,M
Dublin Central,2016,Gary Gannon,M
Dublin South-Central,2016,Michael Gargan,M
Kerry,2016,Henry Gaynor,M
Longford-Westmeath,2016,Connie Gerety-Quinn,F
Dublin Central,2016,Jacqui Gilbourne,F
Carlow-Kilkenny,2016,Keith Martin Gilligan,M
Meath East,2016,Ben Gilroy,M
Dublin Mid-West,2016,Paul Nicholas Gogarty,M
Meath West,2016,Trevor Golden,M
Dublin Central,2016,William  D.j. Gorman,M
Dublin Bay South,2016,William D.j. Gorman,M
Cork North-Central,2016,Thomas Gould,M
Galway West,2016,Noel Grealish,M
Louth,2016,Patrick Greene,M
Kerry,2016,Brendan Griffin,M
Cork North-West,2016,Shirley Griffin,F
Sligo-Leitrim,2016,Des Guckian,M
Dublin Bay North,2016,Jimmy Guerin,M
Dublin Central,2016,Kerry Guinan,F
Waterford,2016,John Halligan,M
Dún Laoghaire,2016,Mary Hanafin,F
Dublin South-Central,2016,Paul Hand,M
Meath East,2016,Dominic Hannigan,M
Offaly,2016,Joe Hannigan,M
Cork South-West,2016,Noel Harrington,M
Cork South-Central,2016,Joe Harris,M
Wicklow,2016,Simon Harris,M
Donegal,2016,Paddy Harte,M
Clare,2016,Michael Harty,M
Cork  East,2016,Natasha Harty,F
Dublin Bay North,2016,Seán Haughey,M
Limerick City,2016,Des Hayes,M
Tipperary,2016,Tom Hayes,M
Dublin Mid-West,2016,Christopher Healy,M
Tipperary,2016,Seamus Healy,M
Longford-Westmeath,2016,Stephanie Healy,F
Galway West,2016,Dr. Fidelma Healy Eames,F
Kerry,2016,Danny Healy-Rae,M
Kerry,2016,Michael Healy-Rae,M
Cork South-West,2016,Theresa Heaney,F
Limerick County,2016,James Heffernan,M
Dublin Bay North,2016,Deirdre Heney,F
Limerick City,2016,Sarah Jane Hennelly,F
Dublin Mid-West,2016,Lorraine Hennessy,F
Roscommon-Galway,2016,Miriam Hennessy,F
Kildare South,2016,Martin Heydon,M
Galway East,2016,Lorraine Higgins,F
Galway West,2016,Mary Hoade,F
Wexford,2016,Julie Hogan,F
Longford-Westmeath,2016,Paul Hogan,M
Dublin South-West,2016,Sarah Holland,F
Galway West,2016,Tommy Holohan,M
Roscommon-Galway,2016,Maura Hopkins,F
Cork South-Central,2016,Elizabeth Hourihane,F
Clare,2016,Mary Howard,F
Wexford,2016,Brendan Howlin,M
Dublin North-West,2016,Bernie Hughes,F
Cavan-Monaghan,2016,Heather Humphreys,F
Dublin Bay South,2016,Kevin Humphreys,M
Dún Laoghaire,2016,Carol Hunt,F
Wicklow,2016,Katrina Hutchinson,F
Longford-Westmeath,2016,Donal Jackson,M
Donegal,2016,Tim Jackson,M
Mayo,2016,Peter Jordan,M
Mayo,2016,Mohammad Kamal Uddin,M
Wicklow,2016,Bob Kearns,M
Dublin South-West,2016,Pamela Kearns,F
Dublin Mid-West,2016,Derek Keating,M
Galway East,2016,Colm Keaveney,M
Wicklow,2016,Charlie Keddy,M
Dublin North-West,2016,Andrew Keegan,M
Wexford,2016,Paul Kehoe,M
Dublin Bay South,2016,John Dominic Keigher,M
Cork North-Central,2016,Billy Kelleher,M
Dublin Fingal,2016,Terry Kelleher,M
Tipperary,2016,Alan Kelly,M
Roscommon-Galway,2016,John Kelly,M
Wexford,2016,Leonard Kelly,M
Cork South-Central,2016,Ciarán Kenneally,M
Kildare South,2016,Mary Kennedy,F
Donegal,2016,Niamh Kennedy,F
Mayo,2016,Enda Kenny,M
Dublin Mid-West,2016,Gino Kenny,M
Sligo-Leitrim,2016,Martin Kenny,M
Meath East,2016,Sharon Keogan,F
Limerick County,2016,Mark Keogh,M
Cork North-Central,2016,Ger Keohane,M
Roscommon-Galway,2016,Claire Kerrane,F
Dublin Mid-West,2016,Dr. Haroon Khan,M
Cork North-Central,2016,Thomas Kiely,M
Dublin Mid-West,2016,Tom Kivlehan,M
Galway West,2016,Seán Kyne,M
Dublin South-West,2016,John Lahart,M
Meath West,2016,Alan Lawes,M
Kildare North,2016,James Lawless,M
Kildare North,2016,Anthony Lawlor,M
Offaly,2016,John Leahy,M
Dublin Mid-West,2016,Clare Leonard,F
Cork  East,2016,Ciara Leonardi-Roche,F
Cork  East,2016,Mary Linehan-Foley,F
Wexford,2016,David Lloyd,M
Tipperary,2016,Michael Lowry,M
Cork South-Central,2016,Ciarán Lynch,M
Dublin Bay South,2016,Glenna Lynch,F
Clare,2016,Ian Lynch,M
Cork North-Central,2016,Kathleen Lynch,F
Dublin Bay North,2016,John Lyons,M
Dublin North-West,2016,John Lyons,M
Carlow-Kilkenny,2016,Conor Mac Liam,M
Sligo-Leitrim,2016,Chris Mac Manus,M
Dublin Bay North,2016,Mícheál Macdonncha,M
Donegal,2016,Pádraig MacLochlainn,M
Sligo-Leitrim,2016,Marc MacSharry,M
Dublin Bay South,2016,Alan Macstiofain,M
Dublin Rathdown,2016,Josepha Madigan,F
Longford-Westmeath,2016,Manchán Magan,M
Meath West,2016,John Malone,M
Wexford,2016,David Maloney,M
Dublin South-West,2016,Eamonn Maloney,M
Cork North-West,2016,Cormac Manning,M
Carlow-Kilkenny,2016,Paddy Manning,M
Mayo,2016,Stephen Manning,M
Dublin Fingal,2016,Barry Martin,M
Dublin Rathdown,2016,Catherine Martin,F
Cork South-Central,2016,Micheál Martin,M
Dublin Rathdown,2016,Peter Mathews,M
Wicklow,2016,Steven Matthews,M
Dublin North-West,2016,Paul Mcauliffe,M
Donegal,2016,Frank McBrearty,M
Cork  East,2016,Kieran McCarthy,M
Cork South-West,2016,Michael McCarthy,M
Cork  East,2016,Noel McCarthy,M
Cork South-West,2016,Rachel McCarthy,F
Donegal,2016,Charlie McConalogue,M
Cavan-Monaghan,2016,Michael McDermott,M
Clare,2016,Michael Malty McDonagh,M
Meath East,2016,Seamus McDonagh,M
Dublin Central,2016,Mary Lou McDonald,F
Meath West,2016,Tracy McElhinney,F
Kildare South,2016,Suzanne McEneaney,F
Meath East,2016,Helen McEntee,F
Longford-Westmeath,2016,Gabrielle McFadden,F
Donegal,2016,Ian McGarvey,M
Dublin Bay North,2016,Finian McGrath,M
Tipperary,2016,Mattie McGrath,M
Cork South-Central,2016,Michael McGrath,M
Dublin West,2016,David McGuinness,M
Carlow-Kilkenny,2016,John McGuinness,M
Donegal,2016,Joe McHugh,M
Dublin Central,2016,Cormac McKay,M
Dublin North-West,2016,Cormac McKay,M
Carlow-Kilkenny,2016,Patrick McKee,M
Longford-Westmeath,2016,Noel McKervey,M
Sligo-Leitrim,2016,Tony McLoughlin,M
Kildare South,2016,Fiona McLoughlin Healy,F
Dublin South-West,2016,Ronan McMahon,M
Meath West,2016,Séamus McMenamin,M
Dublin Mid-West,2016,Anne-Marie McNally,F
Clare,2016,Michael McNamara,M
Cavan-Monaghan,2016,James Mee,M
Galway East,2016,Aengus Melia,M
Kildare North,2016,Ashling Merriman,F
Longford-Westmeath,2016,James Miller,M
Dublin Bay North,2016,Denise Mitchell,F
Dún Laoghaire,2016,Mary Mitchell O'Connor,F
Cork South-Central,2016,Michael Joseph Mohally,M
Dublin Fingal,2016,Dr. Gerry Molloy,M
Dublin Bay South,2016,Annette Mooney,F
Donegal,2016,Michael Mooney,M
Laois,2016,Sinead Moore,F
Longford-Westmeath,2016,Kevin 'Boxer' Moran,M
Louth,2016,Mary Moran,F
Clare,2016,Noeleen Moran,F
Cork North-Central,2016,Oliver Moran,M
Mayo,2016,Tom Moran,M
Longford-Westmeath,2016,James Morgan,M
Kerry,2016,Norma Moriarty,F
Tipperary,2016,Séamus Séan Morris,M
Cork North-West,2016,Aindrias Moynihan,M
Cork North-West,2016,Michael Moynihan,M
Mayo,2016,Michelle Mulherin,F
Clare,2016,Dermot Mulqueen,M
Louth,2016,Imelda Munster,F
Carlow-Kilkenny,2016,Jennifer Murnane-O'Connor,F
Kildare North,2016,Catherine Murphy,F
Cork North-Central,2016,Dara Murphy,M
Dublin Bay South,2016,Eoghan Murphy,M
Roscommon-Galway,2016,Eugene Murphy,M
Kerry,2016,Kevin Murphy,M
Tipperary,2016,Marie Murphy,F
Cork North-Central,2016,Mick Murphy,M
Dublin South-West,2016,Paul Murphy,M
Dublin Fingal,2016,Tony Murphy,M
Cork South-West,2016,Margaret Murphy O'Mahony,F
Sligo-Leitrim,2016,Eamon Murray,M
Dublin South-Central,2016,Richard Murray,M
Wexford,2016,John Mythen,M
Louth,2016,Ged Nash,M
Roscommon-Galway,2016,Denis Naughten,M
Galway West,2016,Hildegarde Naughton,F
Limerick County,2016,Tom Neville,M
Galway East,2016,Máiréad Ní Chróinín,F
Kildare North,2016,Maebh Ní Fhallúin,F
Dublin Rathdown,2016,Sorcha Nic Cormaic,F
Donegal,2016,Cordelia NicFhearraigh,F
Offaly,2016,Carol Nolan,F
Galway West,2016,Derek Nolan,M
Carlow-Kilkenny,2016,Malcolm Noonan,M
Limerick City,2016,Michael Noonan,M
Dublin West,2016,Catherine Noone,F
Clare,2016,Ann Norton,F
Dublin Mid-West,2016,Eoin Ó Broin,M
Meath East,2016,Seán Ó Buachalla,M
Cork South-Central,2016,Diarmaid Ó Cadhla,M
Cavan-Monaghan,2016,Caoimhghín Ó Caoláin,M
Kildare South,2016,Seán Ó Fearghaíl,M
Dublin South-Central,2016,Oisín Ó Halmhain,M
Cork South-Central,2016,Donnchadh Uinseann Ó Laoghaire,M
Galway West,2016,John O Mahony,M
Dublin Bay North,2016,Naoise Ó Muirí,M
Dublin Bay North,2016,Aodhán Ó Ríordáin,M
Dublin South-Central,2016,Aengus Ó Snodaigh,M
Galway West,2016,Niall Ó Tuathail,M
Cork North-West,2016,Michael O’ Donnell,M
Cork South-West,2016,Johnny O’ Mahony,M
Mayo,2016,Gerry O'Boyle,M
Dublin Fingal,2016,Darragh O'Brien,M
Limerick County,2016,Emmett O'Brien,M
Dublin West,2016,Jo O'Brien,F
Dublin Fingal,2016,Joe O'Brien,M
Cork North-Central,2016,Jonathan O'Brien,M
Dublin Bay North,2016,Michael O'Brien,M
Clare,2016,Niamh O'Brien,F
Dún Laoghaire,2016,Shane O'Brien,M
Dublin Bay North,2016,Cian O'Callaghan,M
Dublin Bay South,2016,Jim O'Callaghan,M
Dublin Bay North,2016,Proinsias O'Conaráin,M
Cavan-Monaghan,2016,Aoife O'Connell,F
Dublin Fingal,2016,Fergal O'Connell,M
Cork South-Central,2016,Jim O'Connell,M
Dublin Bay South,2016,Kate O'Connell,F
Limerick City,2016,Willie O'Dea,M
Kerry,2016,Grace O'Donnell,F
Limerick City,2016,Kieran O'Donnell,M
Limerick County,2016,Richard O'Donoghue,M
Dublin South-West,2016,Deirdre O'Donovan,F
Limerick County,2016,Patrick O'Donovan,M
Louth,2016,Fergus O'Dowd,M
Louth,2016,Michael O'Dowd,M
Dublin Central,2016,Diana O'Dwyer,F
Cork North-West,2016,Diarmuid O'Flynn,M
Dublin South-West,2016,Frank O'Gorman,M
Limerick County,2016,John O'Gorman,M
Kerry,2016,Michael Pixie O'Gorman,M
Dublin West,2016,Roderic O'Gorman,M
Sligo-Leitrim,2016,Bernie O'Hara,F
Sligo-Leitrim,2016,Leslie V. John O'Hora,M
Cork  East,2016,Kevin O'Keeffe,M
Sligo-Leitrim,2016,Susan O'Keeffe,F
Cork North-Central,2016,Julie O'Leary,F
Cork North-Central,2016,Paddy O'Leary,M
Kildare South,2016,Fiona O'Loughlin,F
Cork North-Central,2016,Peter O'Loughlin,M
Mayo,2016,George O'Malley,M
Meath East,2016,Aisling O'Neill,F
Dublin Bay North,2016,Damien O'Neill,M
Galway West,2016,Ruairí O'Neill,M
Cavan-Monaghan,2016,Joe O'Reilly,M
Dublin Fingal,2016,Louise O'Reilly,F
Cork North-West,2016,Steven O'Riordan,M
Meath East,2016,Darren O'Rourke,M
Kildare North,2016,Frank O'Rourke,M
Sligo-Leitrim,2016,Paddy O'Rourke,M
Cork North-West,2016,John Paul O'Shea,M
Kildare North,2016,Elizabeth O'Sullivan,F
Waterford,2016,Grace O'Sullivan,F
Limerick City,2016,Jan O'Sullivan,F
Cork North-West,2016,Jerry O'Sullivan,M
Dublin Central,2016,Maureen O'Sullivan,F
Longford-Westmeath,2016,Dominic Parker,M
Longford-Westmeath,2016,Willie Penrose,M
Dublin Central,2016,Cieran Perry,M
Sligo-Leitrim,2016,John Perry,M
Cork South-West,2016,Fiona Pettit O’leary,F
Carlow-Kilkenny,2016,Ann Phelan,F
Carlow-Kilkenny,2016,John Paul Phelan,M
Cork South-West,2016,Gillian Powell,F
Dublin Bay North,2016,Averil Power,F
Waterford,2016,Mailo Power,F
Limerick City,2016,Cian Prendiville,M
Donegal,2016,Thomas Pringle,M
Dublin South-West,2016,Kieran Adam Quigley,M
Waterford,2016,Edward Quilty,M
Limerick City,2016,Maurice Quinlivan,M
Galway East,2016,Anne Rabbitte,F
Dublin Bay North,2016,Stephanie Bernadette Regan,F
Dublin Fingal,2016,James Reilly,M
Cavan-Monaghan,2016,Kathryn Reilly,F
Sligo-Leitrim,2016,Gerard Reynolds,M
Mayo,2016,Michael Ring,M
Limerick City,2016,Denis Riordan,M
Galway East,2016,Annemarie Roche,F
Dublin North-West,2016,Noel Rock,M
Galway West,2016,Tommy Roddy,M
Dublin Rathdown,2016,Shane Ross,M
Dublin Fingal,2016,Brendan Ryan,M
Dublin Bay South,2016,Eamon Ryan,M
Dublin Central,2016,Éilis Ryan,F
Cork South-Central,2016,Fiona Ryan,F
Kildare South,2016,Patricia Ryan,F
Offaly,2016,Teresa Ryan-Feehan,F
Sligo-Leitrim,2016,Eamon Scanlon,M
Longford-Westmeath,2016,Mae Sexton,F
Dublin Rathdown,2016,Alan Shatter,M
Mayo,2016,Margaret (Mags) Sheehan,F
Donegal,2016,Dessie Sheils,M
Galway West,2016,Séamus Sheridan,M
Cork  East,2016,Sean Sherlock,M
Dublin North-West,2016,Róisín Shortall,F
Dublin South-West,2016,Stephen Sinclair,M
Clare,2016,Andres Siro Hakizimana,M
Cavan-Monaghan,2016,Brendan Smith,M
Dublin South-Central,2016,Bríd Smith,F
Cavan-Monaghan,2016,Emmett Smith,M
Clare,2016,Fergal Smith,M
Tipperary,2016,Michael Smith,M
Offaly,2016,Ken Smollen,M
Longford-Westmeath,2016,Barbara Smyth,F
Dún Laoghaire,2016,Carrie Smyth,F
Dublin Central,2016,Ian Noel Smyth,M
Cavan-Monaghan,2016,Mary Smyth,F
Cavan-Monaghan,2016,Niamh Smyth,F
Dún Laoghaire,2016,Ossian Smyth,M
Kerry,2016,Arthur J. Spring,M
Kildare North,2016,Emmet Stagg,M
Laois,2016,Brian Stanley,M
Cork  East,2016,David Stanton,M
Limerick County,2016,Alexander Storey-Cosgrave,M
Dublin South-West,2016,Joan Summerville-Molloy,F
Sligo-Leitrim,2016,Bernard Sweeney,M
Dublin Bay South,2016,Eoin Tierney,M
Wicklow,2016,Billy Timmins,M
Dublin Mid-West,2016,Francis Timmons,M
Meath West,2016,Peadar Tóibín,M
Longford-Westmeath,2016,Robert Troy,M
Dublin Mid-West,2016,Joanna Tuffy,F
Cork North-Central,2016,Ted Tynan,M
Meath East,2016,Sarah Tyrrell,F
Dublin West,2016,Leo Varadkar,M
Wexford,2016,Deirdre Wadding,F
Kildare South,2016,Mark Wall,M
Carlow-Kilkenny,2016,Adrienne Wallace,F
Wexford,2016,Mick Wallace,M
Wexford,2016,Ann Walsh,F
Waterford,2016,John D Walsh,M
Carlow-Kilkenny,2016,Noel G. Walsh,M
Dublin South-West,2016,Karen Warren,F
Louth,2016,Garrett Weldon,M
Laois,2016,John Whelan,M
Dublin Rathdown,2016,Alex White,M
Dublin Rathdown,2016,Mary White,F
Dún Laoghaire,2016,Raymond Whitehead,M
Cavan-Monaghan,2016,John Wilson,M
Louth,2016,Maeve Yore,F
Kildare North,2016,Brendan Young,M
Dublin South-West,2016,Katherine Zappone,F
