Constituency Ainm,Year,Full Name,
Dublin Bay South,2020,Sarah Durcan,F
Dublin Bay South,2020,Mannix Flynn,M
Dublin Bay South,2020,Jacqui Gilbourne,F
Dublin Bay South,2020,Kevin Humphreys,M
Dublin Bay South,2020,John Dominic Keigher,M
Dublin Bay South,2020,Annette Mooney,F
Dublin Bay South,2020,Eoghan Murphy,M
Dublin Bay South,2020,Jim O'Callaghan,M
Dublin Bay South,2020,Kate O'Connell,F
Dublin Bay South,2020,Sean O'Leary,M
Dublin Bay South,2020,Eamonn Ryan,M
Dublin Bay South,2020,Ben Scallan,M
Dublin Central,2020,Gillian Brien,F
Dublin Central,2020,Christy Burke,M
Dublin Central,2020,Patrick Clohessy,M
Dublin Central,2020,Joe Costello,M
Dublin Central,2020,Paschal Donohoe,M
Dublin Central,2020,Deirdre Duffy,F
Dublin Central,2020,Mary Fitzpatrick,F
Dublin Central,2020,Gary Gannon,M
Dublin Central,2020,Rita Harrold,F
Dublin Central,2020,Neasa Hourigan,F
Dublin Central,2020,Mary Lou McDonald,F
Dublin Central,2020,Sarah Louise Mulligan,F
Dublin Central,2020,Sean O'Leary,M
Dublin Central,2020,ï¿½ilis Ryan,F
Dublin Central,2020,Ian Noel Smyth,M
Dublin Central,2020,Dolores Webster,F
Dublin Fingal,2020,Glenn Brady,M
Dublin Fingal,2020,Lorraine Clifford-Lee,F
Dublin Fingal,2020,Alan Farrell,M
Dublin Fingal,2020,Terry Kelleher,M
Dublin Fingal,2020,Dean Mulligan,M
Dublin Fingal,2020,Paul Mulville,M
Dublin Fingal,2020,Tony Murphy,M
Dublin Fingal,2020,Darragh O'Brien,M
Dublin Fingal,2020,Joe O'Brien,M
Dublin Fingal,2020,Gemma O'Doherty,F
Dublin Fingal,2020,Louise O'Reilly,F
Dublin Fingal,2020,James Reilly,M
Dublin Fingal,2020,Alistair Smith,M
Dublin Fingal,2020,Duncan Smith,M
Dublin Fingal,2020,Sandra Sweetman,F
Dublin Fingal,2020,Oghenetano John Uwhumiakpor,M
Dublin Mid-West,2020,Vicki Casserly,F
Dublin Mid-West,2020,John Curran,M
Dublin Mid-West,2020,David Gardiner,M
Dublin Mid-West,2020,Paul Nicholas Gogarty,M
Dublin Mid-West,2020,Emer Higgins,F
Dublin Mid-West,2020,Peter Kavanagh,M
Dublin Mid-West,2020,Gino Kenny,M
Dublin Mid-West,2020,Caitrï¿½ona Mc Clean,F
Dublin Mid-West,2020,Eoin ï¿½ Broin,M
Dublin Mid-West,2020,Francis Timmons,M
Dublin Mid-West,2020,Joanna Tuffy,F
Dublin Mid-West,2020,Mark Ward,M
Dublin North West,2020,Caroline Conroy,F
Dublin North West,2020,Ian Croft,M
Dublin North West,2020,Dessie Ellis,M
Dublin North West,2020,Niall Fitzgerald,M
Dublin North West,2020,Paul McAuliffe,M
Dublin North West,2020,Andrew Montague,M
Dublin North West,2020,Conor Reddy,M
Dublin North West,2020,Stephen Redmond,M
Dublin North West,2020,Noel Rock,M
Dublin North West,2020,Rï¿½isï¿½n Shortall,F
Dublin Rathdown,2020,Shay Brennan,M
Dublin Rathdown,2020,Deirdre Conroy,F
Dublin Rathdown,2020,Liam Coughlan,M
Dublin Rathdown,2020,Josepha Madigan,F
Dublin Rathdown,2020,Catherine Martin,F
Dublin Rathdown,2020,Lettie McCarthy,F
Dublin Rathdown,2020,Sorcha Nic Cormaic Nic Cormaic,F
Dublin Rathdown,2020,Patrick Noonan,M
Dublin Rathdown,2020,Eoghan ï¿½ Ceannabhï¿½in,M
Dublin Rathdown,2020,Neale Richmond,M
Dublin Rathdown,2020,Shane Ross,M
Dublin South Central,2020,Catherine Ardagh,F
Dublin South Central,2020,Catherine Byrne,F
Dublin South Central,2020,Joan Collins,F
Dublin South Central,2020,Patrick Costello,M
Dublin South Central,2020,Tara Deacy,F
Dublin South Central,2020,Robert Foley,M
Dublin South Central,2020,Serina Ervine,F
Dublin South Central,2020,Alan Kerrigan,M
Dublin South Central,2020,Rebecca Moynihan,F
Dublin South Central,2020,Richard Murray,M
Dublin South Central,2020,Sean O'Leary,M
Dublin South Central,2020,Aengus ï¿½'Snodaigh,M
Dublin South Central,2020,Brï¿½d Smith,F
Dublin South West,2020,Ciarï¿½n Ahern,M
Dublin South West,2020,Carly Bailey,F
Dublin South West,2020,Colm Brophy,M
Dublin South West,2020,Anne Marie Condren,F
Dublin South West,2020,Seï¿½n Crowe,M
Dublin South West,2020,Mick Duff,M
Dublin South West,2020,Francis Noel Duffy,M
Dublin South West,2020,Philip Dwyer,M
Dublin South West,2020,Sandra Fay,F
Dublin South West,2020,John Lahart,M
Dublin South West,2020,Paul Murphy,M
Dublin South West,2020,Charlie O'Connor,M
Dublin South West,2020,Deirdre O'Donovan,F
Dublin South West,2020,Colm O'Keeffe,M
Dublin South West,2020,Ellen O'Malley Dunlop,F
Dublin South West,2020,Katherine Zappone,F
Dublin West,2020,Joan Burton,F
